iter	Logloss
0	0.6275672136
1	0.5956879834
2	0.5780879804
3	0.5659778336
4	0.5567688217
5	0.5512446908
6	0.5449777335
7	0.5387174906
8	0.5321192581
9	0.5282952863
10	0.5239181866
11	0.5203754403
12	0.5174997533
13	0.5122965671
14	0.5078187894
15	0.5052150543
16	0.5027001748
17	0.5003715398
18	0.498815447
19	0.4961981818
20	0.4934203964
21	0.4892969925
22	0.4876818846
23	0.4840439229
24	0.4821692401
25	0.4804679973
26	0.4762344764
27	0.4741942277
28	0.4717511451
29	0.4699190763
30	0.4652832399
31	0.4619024467
32	0.459246182
33	0.4580432604
34	0.4557577613
35	0.4534030774
36	0.4509739607
37	0.4476962176
38	0.4441650472
39	0.4419902119
40	0.4394138606
41	0.4378293476
42	0.4353663564
43	0.433398699
44	0.4319646564
45	0.4300990307
46	0.4289236812
47	0.4277525865
48	0.4259412175
49	0.4233378156
50	0.4212662432
51	0.4191147924
