iter	Passed	Remaining
0	62	3173
1	63	1585
2	64	1051
3	65	784
4	66	623
5	67	515
6	67	436
7	68	377
8	70	334
9	71	299
10	72	269
11	73	245
12	74	223
13	75	205
14	76	189
15	77	174
16	78	161
17	80	151
18	80	140
19	81	130
20	82	121
21	83	113
22	84	105
23	84	98
24	85	92
25	86	86
26	87	81
27	88	75
28	89	70
29	90	66
30	91	61
31	92	57
32	92	53
33	93	49
34	94	45
35	95	42
36	96	39
37	97	35
38	98	32
39	99	29
40	99	26
41	100	23
42	101	21
43	101	18
44	102	15
45	103	13
46	104	11
47	104	8
48	105	6
49	106	4
50	106	2
51	107	0
